,Headline,Company,Date,Sentiment
0,"Apple TV's zero sign-on is live, starting with Charter Spectrum",Apple,2018-12-19,-2.0
1,Alexa will work with Apple Music on third-party devices 'soon',Apple,2018-12-19,1.0
2,Apple TV’s first ‘zero sign-in’ partner delays feature until 2019,Apple,2018-12-19,1.9059753369125847
3,Apple Admits the New iPad Could Be Prone to Bending,Apple,2018-12-19,0.8086369370248244
4,Apple Is Sending Out Push Notifications Bothering People to Watch Carpool Karaoke,Apple,2018-12-19,-2.4149002626204177
5,Apple Sending Unsolicited Notifications for New Carpool Karaoke Episodes and Apple Music Echo Support,Apple,2018-12-19,-2.8284271247461903
6,"Apple Says Some 2018 iPad Pros Ship Bent, But It's Normal and Not a Defect",Apple,2018-12-19,-1.6013625203612882
7,The 13 biggest Apple disappointments of 2018 (AAPL),Apple,2018-12-19,-0.8575520867615025
8,"Apple bothering people with unwanted ""Carpool Karaoke"" push notifications",Apple,2018-12-19,-3.712895437568495
9,"Apple Confirms iOS 12.1.2 Addresses Qualcomm Patents, Introduces New Force Closing App Animation in China",Apple,2018-12-19,-1.8284271247461898
10,"Apple TV debuts Zero Sign-On support for Charter, without Spectrum app",Apple,2018-12-19,-0.6030226891555274
11,Some iPad Pros could come bent out of the box,Apple,2018-12-20,2.0
12,Check Your New 2018 iPad Pro for a Bend Right When You Buy it,Apple,2018-12-20,1.386750490563073
13,Apple's new rules can make gifts out of in-app purchases,Apple,2018-12-20,2.7085642859406605
14,"Okay, Which MacBook Should You Actually Buy",Apple,2018-12-20,-0.8438262381113939
15,"In revamped transparency report, Apple reveals uptick in demands for user data",Apple,2018-12-20,-1.0
16,This Blood Pressure Smartwatch Makes Way More Sense Than the Apple Watch,Apple,2018-12-20,-0.6050283350741685
17,The New MacBook Air Is Boring and Too Expensive,Apple,2018-12-20,-0.04505169832930148
18,Apple AI Chief John Giannandrea Gets Promotion to Senior Vice President,Apple,2018-12-20,1.3734995476473622
19,Apple Watch vs. Samsung Galaxy Watch: Which should you buy? - CNET,Apple,2018-12-20,-1.8284271247461903
20,"Some iPad Pros ship a little bent, and Apple says that’s normal",Apple,2018-12-20,0.7276068751089989
21,"Apple's $1,199 Blackmagic eGPU Pro Now Available for Purchase, Delivers Mid-January",Apple,2018-12-20,1.0
22,Apple Releases Updated Version of iOS 12.1.2 for iPhone,Apple,2018-12-20,2.0
23,Apple AR app Wonderscope's next trick: 'spatial storytelling' with cartoon bunnies - CNET,Apple,2018-12-20,0.31043712344775254
24,How to change your Apple ID email address,Apple,2018-12-20,-2.0
25,"German court says iPhone infringed Qualcomm patent, sales ban pending Apple appeal",Apple,2018-12-20,-5.4622296335824405
26,Apple product launch finally gets a hilarious Bad Lip Reading,Apple,2018-12-21,0.14281553931335217
27,Apple's 2018 transparency report shows a rise in government requests for data,Apple,2018-12-21,1.2205643866281424
28,What's a Bear Market?,Apple,2018-12-21,-4.82842712474619
29,The GPS wars have begun,Apple,2018-12-21,-1.6631038845393262
30,"Four months after its debut, sneaky Mac malware went undetected by AV providers",Apple,2018-12-21,-4.82842712474619
31,Apple to Launch iPad mini 5 and Entry Level 10-inch iPad Next Year,Apple,2018-12-21,-2.8284271247461903
32,"Apple Confirms Some iPad Pros Ship Slightly Bent, But Says It's Normal",Apple,2018-12-21,0.4057569873698218
33,5 things Apple got right–and 5 it got wrong–in 2018,Apple,2018-12-21,-3.0
34,Apple's bi-annual report on government data requests is available to read,Apple,2018-12-21,2.0
35,"Apple responding to ‘bent’ iPad Pro controversy, insists flatness ‘tighter than previous generations’",Apple,2018-12-21,-5.096501315976173
36,How to permanently delete an Apple ID account,Apple,2018-12-21,0.0
37,"Best Buy’s 1-day Apple event takes up to $800 off MacBook Pro, iPad, Apple Watch, HomePod, more",Apple,2018-12-21,3.047329787394994
38,"Analyst predicts Apple will cut iPhone production yet again, iPhone XR to take biggest hit",Apple,2018-12-21,1.412612867392256
39,Apple’s cheapest iPad may be a 10-inch model in 2019,Apple,2018-12-21,2.386750490563073
40,Headphone jack fans lost out to fullscreen smartphones in 2018,Apple,2018-12-24,-0.3498023001957374
41,What the iPad Pro needs next - CNET,Apple,2018-12-24,-0.9662707686852168
42,Wall Street opens lower in shortened session - Yahoo Finance,Apple,2018-12-24,1.0
43,"Crime blotter: AirDrop Cyberflashing rises, iPad theft leads to high-speed chase, and Apple scams large and small",Apple,2018-12-24,-1.5913927268655796
44,Apple’s cut-price battery replacement offer only has a week left to run,Apple,2018-12-24,-1.0
45,"Companies in China boycotting Apple, reportedly threatening to fire iPhone users",Apple,2018-12-24,-4.009882982599486
46,Analyst lists the 10 things investors want to see AAPL achieve in 2019,Apple,2018-12-24,-1.1999608182456265
47,Apple thanked for 'removing anti-gay app',Apple,2018-12-24,-1.2804073495592798
48,Get Free Classic Audiobooks From Apple,Apple,2018-12-26,2.9122172264843043
49,Apple's Future Looks Rotten,Apple,2018-12-26,-3.828492769300599
50,Have a new Apple Watch? Turn on these health-monitoring features,Apple,2018-12-26,-1.0
51,"No HomePod, politics, bug extermination and more -- Apple's January 2018 in review",Apple,2018-12-26,-2.438590755034308
52,How to unload some of those unwanted holiday gifts online,Apple,2018-12-26,-2.8284271247461903
53,Apple stock sees best single-day performance in five years as entire market rebounds,Apple,2018-12-26,-0.29439426915511646
54,"Dealmaster: Get post-Christmas deals on Amazon devices, iPads, and more",Apple,2018-12-27,1.0
55,Year in Review: Everything Apple Introduced in 2018,Apple,2018-12-27,-0.6292475551813578
56,Exclusive: Foxconn to begin assembling top-end Apple iPhones in India in 2019 - source,Apple,2018-12-27,1.0
57,Want to get fit with Apple Watch in 2019? Try these Workout and Activity features,Apple,2018-12-27,-0.2728290432496272
58,What do you think about the Pixel 3's DxOMark score of 101?,Apple,2018-12-27,1.7056057308448838
59,"Architecture, creativity, community: A field guide to Apple retail in 2018",Apple,2018-12-27,0.4142135623730949
60,"2018 Diary: Where am I at with my Apple devices, and how will they get me to upgrade?",Apple,2018-12-27,1.0
61,Munster predicts Apple to outperform FAANG stocks in 2019,Apple,2018-12-27,1.7131723058681214
62,Apple Lost $9 Billion Buying Back Its Own Stock. There’s a Lesson Here.,Apple,2018-12-27,-2.0
63,WSJ report details how Apple lost $9 billion this year due to poor self-investment decision,Apple,2018-12-27,-3.464101615137755
64,Apple lawyers fined or detained? Qualcomm offense intensifies over China iPhone sales ban,Apple,2018-12-27,-1.353937324099872
65,Bad medicine: The Apple Watch problem,Apple,2018-12-27,-10.282769038246936
66,That New Black Mirror Interactive Film From Netflix Doesn't Work on Apple TV,Apple,2018-12-28,1.1013529722048057
67,"2018's Biggest Apple Leaks: iPhone XS and XR, iPad Pro, Macs, and More",Apple,2018-12-28,1.069557604613042
68,Trip ‘Claim’ Chowdhry Strikes Again,Apple,2018-12-28,0.1610579107302331
69,Year-in-Review: Everything Apple released across all of 2018,Apple,2018-12-28,-4.0
70,Voice of Siri in Hebrew suing Apple for ‘illegitimate’ use,Apple,2018-12-28,-2.0
71,Apple pushes colorful iPhone XR in odd new ‘Color Flood’ ad,Apple,2018-12-28,-2.050385726688224
72,New iPad Pros are coming out of the box already bent,Apple,2018-12-28,3.760250038210435
73,Opinion: My end-of-year report card for Apple’s 2018 hardware,Apple,2018-12-28,0.5235030784240976
74,Black Mirror: Bandersnatch not available on some top streaming devices,Apple,2018-12-28,1.9856421338016665
75,"Apple interested in Sony's 3D camera sensor technology, report says",Apple,2018-12-28,1.998379473062744
76,How to Set Up Your iPad to Be the Best Laptop Replacement It Can Be,Apple,2018-12-31,-0.613249509436927
77,Did Apple Retail Prices Get Too High in 2018? Consumers Say Yes.,Apple,2018-12-31,-0.8445992139186755
78,"What to Expect From Apple in 2019: New iPhones, Modular Mac Pro, iPad mini 5, Updated AirPods and More",Apple,2018-12-31,2.0
79,What Apple needs to fix in 2019 (and beyond),Apple,2018-12-31,-5.397936797979332
80,What Apple needs to fix in 2019 (and beyond),Apple,2018-12-31,-5.397936797979332
81,"Florida stores: Apple Altamonte closing for renovations January 13th, Aventura and Dadeland expansions planned",Apple,2018-12-31,0.0
82,"Apple releases six celebrity-narrated audiobooks, and they’re all free",Apple,2018-12-31,1.0
83,My wish list for Apple in 2019 – things I’d love but mostly don’t expect,Apple,2018-12-31,1.0
84,"‘We are, really, the merger of art and technology’ says Beats 1 host Zane Lowe",Apple,2018-12-31,0.0672672793996312
85,"9to5Toys Lunch Break: Apple Watch Series 4 $365, Philips Hue HomeKit Lighting 25% off, Anker Gold Box from $11, more",Apple,2018-12-31,-1.0
86,"How to take a screenshot on iPhone X, XS, or XR",Apple,2018-12-31,0.0
87,Apple's iPhone continues its domination of the premium smartphone market,Apple,2018-12-31,1.6499635157782833
88,Get a new Apple Watch Series 4 for one of the lowest prices we've seen,Apple,2018-12-31,1.319292222761445
89,Review: 802.11ac Synology RT2600ac router is the best AirPort replacement we've found yet,Apple,2018-12-31,2.6720610510567306
90,How to Watch 'Black Mirror: Bandersnatch' on Apple TV or Chromecast,Apple,2019-01-02,0.23088216472468867
91,Read Tim Cook's letter about Apple sales,Apple,2019-01-02,1.0
92,The Dumbest Custom iPhone Yet,Apple,2019-01-02,-4.0
93,"Shutdown, Nancy Pelosi, Apple: Your Wednesday Evening Briefing",Apple,2019-01-02,-2.0
94,Netflix delivers a blow to Apple’s services story by ending in-app subscriptions,Apple,2019-01-02,-2.0
95,"AirPower Misses Promised 2018 Launch, But Might Not Be Canceled",Apple,2019-01-02,-2.789943329851663
96,China Takes Wind Out Of Apple iPhone Sales,Apple,2019-01-02,0.07291879864633988
97,Apple Devices Running iOS 13 Spotted in Analytics,Apple,2019-01-02,0.0
98,Apple stocks tumble after company cuts forecasts for key quarter,Apple,2019-01-02,-0.7810996937123389
99,"Apple slashes Q1 2019 forecast, blaming China and low iPhone upgrades",Apple,2019-01-02,0.21467817632248146
100,"Netflix cut off a $256 million revenue stream for Apple by circumventing iTunes billing (AAPL, NFLX)",Apple,2019-01-02,-4.359719336288348
101,Patents reveal Apple is looking into “smart fabric”,Apple,2019-01-02,0.0
102,A profit warning from Apple jolts markets,Apple,2019-01-03,-0.6737922309213474
103,"Apple Revenue Warning Triggers Yen Spike, Sharp US Equity Futures Decline - TheStreet.com",Apple,2019-01-02,0.5499097098496932
104,"Apple issues rare revision to earnings guidance, lowering expectations due to ‘fewer iPhone upgrades’",Apple,2019-01-02,1.4142135623730951
105,OhMiBod debuts an Apple Watch app for its remote vibrators,Apple,2019-01-03,-2.818517115026726
106,"Apple sets App Store sales record during holidays, despite disastrous quarter",Apple,2019-01-03,-1.603022689155527
107,Markets shudder after Apple warns about sales,Apple,2019-01-03,-2.789943329851663
108,5 takeaways from Apple's stark China warning,Apple,2019-01-03,-2.4696489971821096
109,Apple shares fall almost 9% at US open,Apple,2019-01-03,-2.789943329851663
110,Dow futures tumble after Apple warns about Chinese sales,Apple,2019-01-03,-2.82674703720576
111,What Happened the Last Time Apple Had a Panic This Bad,Apple,2019-01-03,-0.5456942789864834
112,Apple loses $57 billion in market value as its stock plunges,Apple,2019-01-03,-2.0
113,Apple loses $57 billion in market value as its stock plunges,Apple,2019-01-03,-2.0
114,"Dyson vacuums, Beats, Apple iPad, Google Home, Fitbit, and more on sale for Jan. 3",Apple,2019-01-03,-2.2020946763961056
115,Charter Spectrum's App for Apple TV Launches,Apple,2019-01-03,0.0
116,Dow plunges more than 600 points after Apple warning - LocalNews8.com,Apple,2019-01-03,-1.695646083701752
117,Apple's sweet talk about its $10.8 billion services business was totally undermined by Netflix (AAPL),Apple,2019-01-03,-3.7796447300922726
118,Apple suspends some iPhone sales in Germany as Qualcomm ponies up - CNET,Apple,2019-01-03,0.048737017882857975
119,Qualcomm patent dispute forces Apple to pull iPhone 7 and 8 from its stores in Germany,Apple,2019-01-04,-4.672175227431138
120,HTC had a truly terrible 2018,Apple,2019-01-04,-2.7705385634675253
121,Apple Has No One to Blame but Itself for Its Current Troubles - TheStreet.com,Apple,2019-01-04,-5.217535056401379
122,Trump to Apple: Make your product in the United States - The News International,Apple,2019-01-04,0.23512328074337993
123,Qualcomm Facing Off With FTC in Antitrust Trial That Kicks Off Today,Apple,2019-01-04,-0.8944271909999159
124,"Apple has way bigger problems than China, analysts say (AAPL)",Apple,2019-01-04,-5.59138421781203
125,The Morning After: Behind the scenes of 'Bandersnatch',Apple,2019-01-04,2.0
126,White House Advisor Kudlow Says Apple Technology May Have Been 'Picked Off' by China,Apple,2019-01-04,-4.0
127,The $450 billion wipeout: Apple's value has fallen by more than Facebook's entire worth in three short months,Apple,2019-01-04,0.2922466458162592
128,Trump unconcerned about Apple's China sales warning - BNNBloomberg.ca,Apple,2019-01-04,-4.757942001396202
129,How to turn on Airplane Mode on Apple Watch,Apple,2019-01-04,0.0
130,Nobody Really Knows Why Apple Is Struggling in China,Apple,2019-01-04,-2.4688135108098583
131,New Pandora update includes Apple Watch app with offline playback,Apple,2019-01-04,-3.3571615666571772
132,Apple Is Looming Over CES,Apple,2019-01-07,0.0
133,Withings ECG smartwatch is an analog Apple Watch killer,Apple,2019-01-07,-0.2648706839525752
134,Apple's news at CES 2019 shows it's facing some hard truths,Apple,2019-01-07,-1.8844683128223043
135,Apple's Snuck Its Way Into LG's 2019 Televisions,Apple,2019-01-07,1.4055638569974545
136,Vizio adds Apple AirPlay and HomeKit integrations to its SmartCast smart TV platform,Apple,2019-01-07,1.7160493827160495
137,Apple’s trillion dollar market cap was always a false idol,Apple,2019-01-07,3.6670525326017924
138,Tim Cook has a really big iPhone problem,Apple,2019-01-07,-2.0
139,Withings puts ECG in its $130 Move fitness watch at CES 2019 - CNET,Apple,2019-01-07,-2.0
140,CES 2019: An Arlo home security system is here at last - CNET,Apple,2019-01-07,0.0
141,"At CES 2019, Apple finally sets iTunes, AirPlay loose - CNET",Apple,2019-01-07,-2.0
142,"Apple, Samsung come together to bring iTunes to new Samsung Smart TV models",Apple,2019-01-07,-2.0
143,Apple burns Google in giant billboard touting privacy at CES - TheSpec.com,Apple,2019-01-07,0.20811215266094385
144,"AirPlay 2 on Smart TVs: Other Brands Coming, Lock Screen Controls, Siri, and More",Apple,2019-01-07,1.4094865835678874
145,"Sorry Apple, I’m still not ready to upgrade my iPhone",Apple,2019-01-08,-2.7955373189664456
146,Sony's new 8K and 4K TVs will have Apple AirPlay too,Apple,2019-01-08,-2.0
147,Samsung Joins Apple in the Revenue Estimate Hurt Locker,Apple,2019-01-08,-1.0
148,"Microsoft Surface Pro, Apple iPad, Fitbit, Instant Pot, Dyson, Vitamix blenders, Fire TV Cube, and more deals for Jan. 8",Apple,2019-01-08,1.2773500981126147
149,CES 2019: The Withings Move fitness watch has ECG for $130 - CNET,Apple,2019-01-08,-2.0
150,Apple CEO Tim Cook: Apple's 'Ecosystem Has Never Been Stronger' and Long-Term Health Has 'Never Been Better',Apple,2019-01-08,-2.0
151,These new JVC multimedia receivers offer wireless access to Android Auto,Apple,2019-01-08,1.6173246886077006
152,"Apple Shares List of AirPlay 2-Enabled Smart TVs From Samsung, LG, Sony, and Vizio",Apple,2019-01-08,1.4142135623730951
153,Apple forever changed the biggest tech event of the year by not showing up,Apple,2019-01-08,0.0
154,"Like Apple, Samsung Feels Sting of Slowed Global Economic Growth",Apple,2019-01-08,-1.6667727282808582
155,Apple Music lyrics & search expanding to several new countries,Apple,2019-01-08,0.0
156,"Sony slips AirPlay 2 and Homekit into its new TVs, too",Apple,2019-01-08,-1.417128571881321
157,"Samsung's profit and sales will miss estimates by a large margin, the company warns",Apple,2019-01-08,0.09670980886427659
158,"Apple is reportedly cutting iPhone production by 10% over the next 3 months, further signalling the firm's woes",Apple,2019-01-09,2.7303618253948003
159,Apple cuts first-quarter production plan for new iPhones by 10 percent: Nikkei,Apple,2019-01-09,0.0
160,"Apple will face bigger challenges as 'China bites even more,' HSBC says (AAPL)",Apple,2019-01-09,-3.884468312822304
161,"Sources: Apple to Expand Crowded Eaton Centre Store in Toronto, More Evidence of Yonge-Bloor Flagship Emerges",Apple,2019-01-09,1.0
162,"Amazon, Apple and Google Steal The Show at CES",Apple,2019-01-09,0.3368961154606737
163,Qualcomm Calls Tim Cook's Statement on Settlement Talks 'Misleading',Apple,2019-01-09,0.0
164,Tim Cook repeats one of Steve Jobs’ favorite sayings to defend Apple during its slump: 'It just works' (AAPL),Apple,2019-01-09,1.3209702095116507
165,Apple CEO Tim Cook Calls Reports That iPhone XR is a Flop 'Bologna',Apple,2019-01-09,-1.0
166,Apple will reportedly manufacture 10% fewer iPhones this quarter,Apple,2019-01-09,1.048737017882858
167,"AirPlay 2 is coming to more TVs, proving Apple can change its mind",Apple,2019-01-09,-1.0
168,Apple to present Korean police with an award for preventing sale of counterfeit Apple products,Apple,2019-01-09,0.8788619134014911
169,"Apple cuts iPhone XS/XR production by another 10 percent, Nikkei claims",Apple,2019-01-09,1.0
